Year,Temperature,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform,Faecal Coliform,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium,Potassium
0,0,7.2,460,0,8,0,0,224,9,356,0.0,0,90,15.2,32,9.8,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
0,0,7.7,690,2,12,0,0,360,12,392,0.0,0,140,12.0,20,7.6,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2017,0,7.4,450,0,4,0,0,230,4,310,0.0,0,82,7.4,22.4,8.2,0.0,0,0,0,0,0.0,0,0,0.2,0,0,0.0,0,0,0.0,0,0
2017,0,7.5,1200,3,12,0,0,640,9,394,0.0,0,136,10.2,29.6,9.4,0.0,0,0,0,0,0.0,0,0,0.8,0,0,0.0,0,0,0.0,0,0
2018,0,6.6,430,0,8,0,0,216,3,108,0.0,0,74,6.6,28.1,9.3,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2018,0,6.8,1030,5,15,0,0,550,7,284,0.0,0,124,8.5,61.7,31.7,0.0,0,0,0,0,0.0,0,0,0.4,0,0,0.0,0,0,0.0,0,0
2019,0,6.5,640,3,12,0,0,340,9,126,0.0,0,105,6.0,32.1,11.2,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2019,0,6.1,580,0,4,0,0,322,5,114,0.0,0,90,5.2,31.2,13.1,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2019,0,7.1,1210,5,16,0,0,648,7,244,0.0,0,145,8.2,58.5,23.9,0.0,0,0,0,0,0.0,0,0,0.2,0,0,0.0,0,0,0.0,0,0
2019,0,6.4,620,4,16,0,0,336,7,120,0.0,0,98,5.7,31.9,12.5,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2019,0,7.0,1260,8,24,0,0,660,9,0,0.0,0,158,8.1,50.5,30.2,0.0,0,0,0,0,0.0,0,0,0.3,0,0,0.0,0,0,0.0,0,0
2020,0,6.8,1210,6,20,0,0,620,8,230,0.6,0,130,6.8,46.8,24.4,0.0,0,0,0,0,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2020,0,7.0,1190,0,16,0,0,640,0,256,0.5,0,124,6.2,52.3,31.2,0.0,0,0,0,0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2020,0,6.9,640,0,0,0,0,350,0,136,0.0,0,94,4.6,31.2,15.0,0.0,0,0,0,0,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2021,0,7.2,650,0,0,0,0,356,0,128,0.0,0,104,4.9,36.2,22.4,0.0,0,0,0,0,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2021,0,6.7,660,0,0,0,0,360,0,130,0.0,0,104.7,4.8,32,12.2,0.0,0,0,0,0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2021,0,6.9,620,0,0,0,0,340,0,112,0.0,0,117.8,25.0,22.4,13.6,0.0,0,0,0,0,0.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2021,0,7.2,740,0,0,0,0,410,10,136,0.0,0,109.5,24.0,27.2,16.5,0.0,0,0,0,0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2021,19,7.3,1140,0,0,0,0,630,0,208,0.0,0,126.1,36.0,110,98.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,186.4,0,0.0,0,0
2022,21,7.5,1230,0,24,0,0,680,0,224,0.0,0,134.4,31.0,118,106.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,169.8,0,0.0,0,0
2022,29,6.7,1130,0,0,5.5,0,620,0,204,0.7,0,147.7,33.0,108,96.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
0,0,7.8,1190,5,20,0,0,760,19,152,0.0,0,158,16.2,32,10.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2017,0,7.6,1204,2,8,0,0,580,15,272,0.0,0,114,15.8,50,9.6,0.0,0,0,0,0,0.0,0,0,0.4,0,0,0.0,0,0,0.0,0,0
2018,0,6.5,940,5,12,0,0,510,12,268,0.0,0,122,14.6,60.9,28.3,0.0,0,0,0,0,0.0,0,0,0.2,0,0,0.0,0,0,0.0,0,0
2018,0,7.1,1160,7,16,0,0,620,9,236,0.0,0,130,12.8,51.3,26.3,0.0,0,0,0,0,0.0,0,0,0.4,0,0,0.0,0,0,0.0,0,0
