Year,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform MPN/100ml,Faecal Coliform MPN/100ml,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium,Potassium
2018,7.73,0,2.6,37.6,0,0,900,0,660,0.0,0,198,0.0,140,75.33,0.0,0.0,0,0.0,0.0,0.05,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2018,7.87,1392,0.0,56.4,0,0,850,13,444,0.0,0,210,0.0,104,44.712,0.0,0.0,0,0.0,0.0,0.63,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2018,7.46,1038,0.0,43.2,0,0,630,0,443,0.0,0,223,0.0,120,34.749,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2019,7.4,968,0.0,43.2,0,0,590,0,320,0.0,0,102,0.0,73.6,33.048,0.0,0.0,0,0.0,0.0,0.023,0,0,0.0,0,0,0.0,0,0,0,0,0.0
2019,8.47,686,0.0,14.0,0,0,422,0,486,0.09,0,344,0.0,132,37.908,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.86,441,0.0,0.0,0,0,0,0,248,0.12,0,68,0.0,69.6,17.982,0.0,0.0,0,0.005,0.0,0.455,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.24,1676,0.0,0.0,0,0,912,0,510,0.19,0,16,0.0,144.8,35.964,0.0,0.0,0,0.0,0.001,0.0,1100,0,0.8,0,452,0.0,122,0,0,164,2.4
2021,8.1,1655,1.2,8.0,0,0,904,0,596,0.72,0,324,65.55,168,42.768,0.0,0.0,0,0.0,0.0,0.0,20,0,0.0,0,298,0.0,70,0,0,20,1.6
2022,7.58,1708,1.4,8.0,6.9,0,1008,0,438,0.11,0,532,41.45,124,31.104,0.0,0.0,0,0.0,0.0,0.0,0,0,0.41,0,0,0.0,52,0,0.04,14,0.2
2022,7.38,1499,0.0,0.0,0,0,892,0,288,0.1,0,20,20.18,80.8,20.898,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,56,0,0.0,3.8,0.9
2023,7.24,1725,0.0,0.0,0,0,940,0,648,0.56,0,16,20.12,182.4,46.656,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,198,0.0,0,0,0.0,2.6,0.5
2018,7.58,1779,0.0,78.0,0,0,1080,0,840,0.0,0,220,0.0,204,80.19,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,7.48,1654,0.0,0.0,0,0,892,0,263,1.3,0,26,0.0,45.198,18.711,0.0,0.0,0,0.05,0.003,0.0,170,0,1.31,0,422,0.0,148,0,0,163,2.6
2021,8.22,1510,0.0,8.0,0,0,824,0,486,0.41,0,270,79.62,137.6,34.506,0.0,0.0,0,0.0,0.0,0.0,0,0,0.1,0,0,0.0,66,0,0.02,0,0.0
0,8.12,1319,2.8,16.0,7.2,0,708,0,844,0.5,0,308,58.19,122.4,30.618,0.0,0.0,0,0.0,0.0,0.0,0,0,0.28,0,0,0.0,86,0,0.003,14,0.2
2022,7.99,1343,0.0,0.0,0,0,796,0,278,0.18,0,20,18.24,78.4,19.226,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,52,0,0.0,4,1.0
2023,7.2,1544,0.0,0.0,0,0,840,0,594,0.48,0,18,16.29,167.2,42.768,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,164,0.0,0,0,0.0,2.8,0.5
